iter	Passed	Remaining
0	93	93690
1	95	47792
2	97	32420
3	99	24769
4	101	20146
5	103	17143
6	105	15003
7	108	13406
8	109	12106
9	111	11080
10	113	10225
11	115	9495
12	116	8876
13	119	8395
14	121	7968
15	123	7570
16	125	7228
17	126	6928
18	128	6650
19	130	6401
20	132	6187
21	134	5978
22	136	5790
23	138	5615
24	140	5462
25	141	5314
26	143	5168
27	145	5043
28	147	4932
29	149	4821
30	150	4717
31	152	4617
32	154	4535
33	156	4453
34	158	4372
35	160	4294
36	162	4229
37	164	4163
38	166	4093
39	168	4032
40	170	3984
41	172	3928
42	174	3875
43	175	3822
44	177	3768
45	179	3724
46	181	3675
47	183	3632
48	185	3592
49	186	3552
50	188	3514
51	190	3476
52	192	3436
53	194	3403
54	196	3368
55	197	3335
56	200	3310
57	201	3278
58	203	3249
59	205	3218
60	207	3196
61	209	3172
62	211	3146
63	213	3121
64	215	3098
65	217	3073
66	218	3049
67	219	3013
68	222	2997
69	224	2977
70	226	2958
71	227	2937
72	229	2917
73	231	2897
74	233	2878
75	235	2861
76	236	2840
77	238	2822
78	240	2804
79	242	2788
80	244	2775
81	246	2757
82	248	2741
83	250	2727
84	251	2704
85	252	2688
86	254	2668
87	255	2652
88	258	2642
89	260	2629
90	261	2615
91	263	2600
92	265	2589
93	267	2578
94	269	2566
95	271	2555
96	274	2552
97	276	2542
98	278	2532
99	280	2521
100	282	2511
101	283	2492
102	285	2482
103	287	2474
104	289	2463
105	290	2451
106	292	2440
107	294	2433
108	296	2424
109	298	2415
110	300	2404
111	304	2415
112	307	2411
113	310	2410
114	312	2404
115	313	2392
116	315	2383
117	317	2375
118	319	2364
119	321	2357
120	323	2350
121	326	2346
122	327	2333
123	329	2325
124	331	2320
125	333	2314
126	335	2307
127	336	2295
128	339	2291
129	341	2283
130	343	2276
131	344	2267
132	346	2261
133	348	2254
134	350	2246
135	352	2238
136	354	2233
137	356	2224
138	358	2217
139	359	2210
140	362	2208
141	364	2200
142	365	2192
143	367	2186
144	371	2190
145	373	2185
146	375	2178
147	377	2172
148	379	2165
149	381	2159
150	383	2154
151	385	2151
152	387	2147
153	389	2141
154	392	2139
155	394	2136
156	396	2128
157	398	2124
158	400	2118
159	402	2111
160	403	2105
161	406	2101
162	408	2096
163	409	2089
164	411	2083
165	413	2079
166	415	2073
167	417	2068
168	419	2062
169	422	2062
170	424	2057
171	426	2052
172	428	2049
173	430	2043
174	432	2038
175	434	2033
176	436	2029
177	438	2023
178	439	2017
179	441	2011
180	442	2002
181	444	1996
182	446	1991
183	447	1986
184	449	1981
185	451	1975
186	453	1969
187	454	1965
188	456	1959
189	458	1954
190	460	1949
191	462	1945
192	464	1941
193	466	1936
194	467	1931
195	469	1926
196	471	1921
197	473	1916
198	474	1911
199	476	1906
200	478	1901
201	480	1896
202	481	1891
203	483	1886
204	484	1880
205	487	1877
206	488	1872
207	490	1868
208	492	1863
209	494	1860
210	497	1858
211	499	1854
212	501	1851
213	502	1847
214	504	1843
215	506	1839
216	508	1835
