iter	Passed	Remaining
0	136	136202
1	138	69075
2	140	46565
3	142	35364
4	144	28659
5	146	24190
6	147	20961
7	149	18569
8	152	16763
9	154	15260
10	156	14048
11	158	13077
12	160	12180
13	162	11426
14	164	10795
15	166	10216
16	167	9708
17	169	9259
18	171	8875
19	173	8508
20	175	8174
21	177	7875
22	178	7601
23	180	7352
24	182	7130
25	185	6936
26	187	6740
27	188	6552
28	190	6378
29	194	6288
30	196	6153
31	198	6010
32	200	5887
33	202	5760
34	204	5645
35	207	5546
36	209	5441
37	210	5332
38	212	5234
39	222	5346
40	224	5262
41	226	5169
42	229	5096
43	230	5014
44	232	4939
45	234	4868
46	237	4810
47	239	4743
48	241	4681
49	243	4624
50	245	4565
51	247	4504
52	250	4479
53	252	4429
54	254	4374
55	256	4323
56	258	4276
57	260	4225
58	261	4177
59	264	4138
60	266	4097
61	267	4053
62	269	4011
63	271	3970
64	273	3936
65	275	3899
66	277	3868
67	280	3838
68	281	3804
69	283	3768
70	285	3735
71	287	3709
72	289	3676
73	291	3645
74	294	3627
75	295	3598
76	297	3570
77	299	3543
78	301	3516
79	303	3493
80	305	3469
81	308	3449
82	309	3420
83	311	3398
84	313	3375
85	317	3370
86	319	3348
87	320	3326
88	322	3305
89	324	3284
90	326	3261
91	328	3240
92	330	3223
93	332	3205
94	334	3188
95	336	3168
96	338	3150
97	340	3135
98	342	3116
99	344	3099
100	347	3094
101	349	3079
102	351	3062
103	353	3046
104	355	3031
105	357	3013
106	359	2999
107	361	2985
108	363	2971
109	365	2955
110	367	2941
111	369	2928
112	371	2914
113	373	2900
114	375	2887
115	377	2877
116	379	2860
117	380	2846
118	382	2833
119	384	2821
120	386	2809
121	388	2794
122	391	2788
123	393	2777
124	396	2775
125	399	2768
126	400	2755
127	405	2760
128	407	2751
129	409	2741
130	411	2729
131	413	2722
132	416	2712
133	419	2708
134	421	2698
135	423	2688
136	425	2683
137	428	2676
138	430	2667
139	433	2661
140	435	2655
141	437	2641
142	439	2631
143	441	2624
144	443	2617
145	446	2609
146	448	2600
147	450	2592
148	452	2583
149	454	2574
150	456	2566
151	459	2561
152	461	2552
153	463	2546
154	465	2538
155	467	2530
156	469	2523
157	471	2515
158	473	2506
159	475	2498
160	477	2486
161	479	2478
162	481	2472
163	483	2464
164	485	2457
165	487	2451
166	489	2442
167	492	2437
168	494	2429
169	496	2423
170	498	2418
171	501	2411
172	503	2405
173	505	2398
174	507	2391
175	509	2383
176	510	2375
177	512	2368
178	515	2362
179	516	2354
180	518	2347
181	520	2341
182	522	2334
183	524	2327
184	526	2320
185	529	2315
186	531	2310
187	533	2303
188	535	2298
189	537	2290
190	539	2284
191	541	2278
192	543	2273
193	546	2270
194	548	2264
195	550	2259
196	553	2254
197	555	2248
198	557	2242
199	559	2237
200	561	2231
201	563	2224
202	565	2219
203	567	2213
204	569	2208
205	571	2202
206	573	2198
207	575	2192
208	577	2187
209	580	2182
210	582	2178
211	585	2174
212	586	2168
213	588	2162
214	591	2158
215	593	2153
216	595	2147
217	596	2141
218	598	2135
219	600	2128
220	602	2123
221	604	2118
222	606	2113
223	608	2107
224	610	2101
225	612	2096
226	613	2090
227	615	2085
228	617	2080
229	619	2075
230	621	2069
231	624	2067
232	626	2061
233	628	2056
234	630	2051
235	632	2046
236	634	2041
237	636	2036
238	637	2031
239	639	2026
240	642	2021
241	643	2016
242	645	2011
243	647	2007
244	649	2002
245	651	1996
246	653	1992
247	655	1988
248	657	1983
249	659	1978
250	661	1973
251	663	1970
252	665	1965
253	667	1961
254	669	1956
255	671	1951
256	673	1947
257	676	1944
258	678	1941
259	680	1936
260	682	1932
261	684	1929
262	686	1924
263	688	1920
264	691	1916
265	693	1912
266	695	1908
267	696	1903
268	698	1899
269	701	1895
270	702	1891
271	705	1888
272	707	1884
273	709	1880
274	711	1875
275	713	1871
276	715	1868
277	717	1863
278	720	1860
279	722	1857
280	724	1853
281	726	1848
282	728	1844
283	730	1842
284	732	1837
285	734	1833
286	737	1831
287	739	1827
288	741	1824
289	743	1821
290	745	1817
291	747	1813
292	750	1810
293	752	1807
294	754	1803
295	757	1801
296	759	1797
297	761	1793
298	764	1793
299	767	1789
300	768	1785
301	771	1783
302	774	1780
303	777	1780
304	780	1778
305	782	1775
306	785	1772
307	787	1770
308	790	1767
309	792	1762
310	794	1759
311	796	1756
312	798	1752
